bullet_cnt,fric1_rpm,fric2_rpm,local_heat,shoot_mode,trigger_cur,trigger_ecd_fdb,trigger_ecd_set,trigger_spd,trigger_spd_set
43,4892,-4906,0.0,5,1079,13390703,13372675,1.771,15.0
43,4894,-4883,0.0,5,1080,13392936,13372675,1.54,15.0
43,4844,-4906,0.0,5,1081,13394742,13372675,1.412,15.0
43,4915,-4920,0.0,5,1085,13395991,13372675,0.809,15.0
43,4900,-4918,0.0,5,1089,13396272,13372675,0.038,15.0
43,4894,-4893,0.0,5,1090,13396271,13372675,-0.002,15.0
43,4905,-4883,0.0,5,1089,13396271,13372675,0.0,15.0
43,4903,-4855,0.0,5,1090,13396271,13372675,0.0,15.0
43,4892,-4841,0.0,5,1090,13396271,13372675,0.0,15.0
43,4869,-4860,0.0,5,1090,13396271,13372675,0.0,15.0
43,4890,-4880,0.0,5,1090,13396271,13372675,0.0,15.0
43,4873,-4872,0.0,5,1090,13396271,13372675,0.0,15.0
43,4863,-4887,0.0,5,1090,13396271,13372675,0.0,15.0
43,4888,-4885,0.0,5,1090,13396271,13372675,0.0,15.0
43,4877,-4878,0.0,5,1090,13396271,13372675,0.0,15.0
43,4867,-4878,0.0,5,1090,13396271,13372675,0.0,15.0
43,4873,-4891,0.0,5,1090,13396271,13372675,0.0,15.0
43,4896,-4899,0.0,5,1090,13396271,13372675,0.0,15.0
43,4865,-4878,0.0,5,1090,13396271,13372675,0.0,15.0
43,4905,-4870,0.0,5,1090,13396271,13372675,0.0,15.0
43,4840,-4887,0.0,5,1090,13396271,13372675,0.0,15.0
43,4865,-4880,0.0,5,1090,13396271,13372675,0.0,15.0
43,4867,-4897,0.0,5,1090,13396271,13372675,0.0,15.0
43,4875,-4899,0.0,5,1090,13396271,13372675,0.0,15.0
43,4888,-4878,0.0,5,1090,13396271,13372675,0.0,15.0
43,4890,-4868,0.0,5,1090,13396271,13372675,0.0,15.0
43,4875,-4860,0.0,5,1090,13396271,13372675,0.0,15.0
43,4865,-4851,0.0,5,1090,13396271,13372675,0.0,15.0
43,4863,-4841,0.0,5,235,13396264,13372675,-0.009,-15.0
43,4871,-4857,0.0,5,-1018,13396133,13372675,-0.14,-15.0
43,4909,-4847,0.0,5,-1088,13395935,13372675,-0.172,-15.0
43,4900,-4843,0.0,5,-1082,13394682,13372675,-1.213,-15.0
43,4869,-4920,0.0,5,-1075,13391618,13372675,-2.417,-15.0
43,4909,-4843,0.0,5,-1078,13388659,13372675,-1.991,-15.0
43,4894,-4851,0.0,5,-1085,13387249,13372675,-0.768,-15.0
43,4875,-4918,0.0,5,-1090,13387238,13372675,0.022,-15.0
43,4888,-4860,0.0,5,-1089,13387245,13372675,0.0,-15.0
43,4886,-4916,0.0,5,-1090,13387245,13372675,0.0,-15.0
43,4890,-4880,0.0,5,-1090,13387248,13372675,0.003,-15.0
43,4863,-4901,0.0,5,-1089,13387248,13372675,0.0,-15.0
43,4873,-4864,0.0,5,-1090,13387248,13372675,0.0,-15.0
43,4884,-4876,0.0,5,-1090,13387248,13372675,0.0,-15.0
43,4856,-4897,0.0,5,-1090,13387248,13372675,0.0,-15.0
43,4884,-4914,0.0,5,-1090,13387248,13372675,0.0,-15.0
43,4875,-4918,0.0,5,-1090,13387248,13372675,0.0,-15.0
43,4859,-4887,0.0,5,-865,13387248,13372675,0.0,15.0
43,4865,-4883,0.0,5,389,13387365,13372675,0.102,15.0
43,4869,-4906,0.0,5,1089,13387544,13372675,0.121,15.0
43,4863,-4897,0.0,5,1085,13388483,13372675,0.816,15.0
43,4903,-4878,0.0,5,1077,13390937,13372675,2.021,15.0
43,4917,-4876,0.0,5,1080,13393222,13372675,1.602,15.0
43,4898,-4901,0.0,5,1081,13395139,13372675,1.394,15.0
43,4859,-4880,0.0,5,1085,13396333,13372675,0.782,15.0
43,4919,-4910,0.0,5,1090,13396486,13372675,-0.002,15.0
43,4863,-4899,0.0,5,1089,13396485,13372675,0.0,15.0
43,4905,-4895,0.0,5,1090,13396485,13372675,0.0,15.0
43,4869,-4891,0.0,5,1090,13396485,13372675,0.0,15.0
43,4911,-4864,0.0,5,1090,13396485,13372675,0.0,15.0
43,4865,-4883,0.0,5,1090,13396485,13372675,0.0,15.0
43,4928,-4887,0.0,5,1090,13396485,13372675,0.0,15.0
43,4909,-4885,0.0,5,1090,13396485,13372675,0.0,15.0
43,4863,-4904,0.0,5,1090,13396485,13372675,0.0,15.0
43,4863,-4883,0.0,5,1090,13396485,13372675,0.0,15.0
43,4865,-4893,0.0,5,1090,13396485,13372675,0.0,15.0
43,4863,-4868,0.0,5,1090,13396485,13372675,0.0,15.0
43,4859,-4851,0.0,5,1090,13396485,13372675,0.0,15.0
43,4886,-4853,0.0,5,1090,13396485,13372675,0.0,15.0
43,4882,-4845,0.0,5,1090,13396485,13372675,0.0,15.0
43,4877,-4855,0.0,5,1090,13396485,13372675,0.0,15.0
43,4909,-4878,0.0,5,1090,13396485,13372675,-0.002,15.0
43,4903,-4870,0.0,5,1089,13396484,13372675,0.0,15.0
43,4898,-4878,0.0,5,1090,13396484,13372675,0.0,15.0
43,4863,-4889,0.0,5,1090,13396484,13372675,0.0,15.0
